effective_time,predispatch_seqno,run_no,region_id,period_id,rrp,eep,total_demand,intervention,source_file
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,86.95192,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,83.99,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,85.21885,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,83.99,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,78.43313,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,82.584,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,NSW1,,75.96007,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,62.86172,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,34.6589,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,0.00961,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-3.33966,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-6.0,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-7.73,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.23686,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.43249,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.51,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.51,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.5,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-10.0,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-7.76488,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-8.0,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-9.7178,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-17.18651,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-12.6,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-10.17889,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-6.68487,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,-1.92,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,54.75,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,72.5,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,85.39,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,88.87,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,87.73,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,89.73,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,88.87,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,88.21155,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,87.73,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,85.57822,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,85.39,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,85.39,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,92.78149,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,87.84337,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,85.39,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,87.73,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,78.73006,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
