C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2026/09/04,03:55:33,0000000535968557,P5MIN,0000000535968554
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:45:00",-26.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:50:00",-31.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:55:00",-31.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:00:00",-58.81,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:05:00",-27.52,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:10:00",-20.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:15:00",-21.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:20:00",-20.53,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:25:00",-20.88,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:30:00",-22.58,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:35:00",-10.38,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:40:00",-10.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:45:00",-26.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:50:00",-31.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:55:00",-31.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:00:00",-70.44,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:05:00",-86.47,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:10:00",-77.95,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:15:00",-78.55,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:20:00",-77.23,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:25:00",-77.08,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:30:00",-78.17,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:35:00",-67.67,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:40:00",-67.67,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:45:00",-81.93,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:50:00",-90.59,1,"2026/09/04 03:55:31"
