C,NEMP.WORLD,DISPATCHIS,AEMO,PUBLIC,2026/09/04,03:50:08,0000000535967869,DISPATCHIS,0000000535967868
I,DISPATCH,CASE_SOLUTION,2,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,SWITCHRUNINITIALSTATUS,SWITCHRUNBESTSTATUS,SWITCHRUNBESTSTATUS_INT
D,DISPATCH,CASE_SOLUTION,2,"2026/09/04 03:55:00",1,0,,1,,0,-51665408.0550,0,0,0,0,0.28,,,,,0,0,0,"2026/09/04 03:50:03",1,1,
I,DISPATCH,LOCAL_PRICE,1,SETTLEMENTDATE,DUID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",KIDSPHL1,7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",KIDSPHL2,7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",KSP1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LADBROK1,5.13,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LADBROK2,5.13,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LBB1,5.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LILYSF1,-7.5,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LKBONNY1,5.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LKBONNY2,5.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",LKBONNY3,5.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MACKNTSH,-69.23,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MEWF1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MIDDLSF1,-7.48,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MOUSF1,-6.53,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MSTUART1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MSTUART2,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MSTUART3,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MUCRKSF1,2.5,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MWPS1PV1,-1.83,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MWPS2PV1,-1.83,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MWPS3PV1,-1.83,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",MWPS4PV1,-1.69,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",NBHWF1,-1.64,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",REECE1,-69.23,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",REECE2,-69.23,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",RRSF1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",RUGBYR1,-7.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",SMCSF1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",SNUG1,5.59,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",SRSF1,5.62,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",STABESS1,-7.55,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",STAN-1,-7.55,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",STAN-2,-7.55,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",STAN-3,-7.55,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",STAN-4,-7.55,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",TRIBUTE,-69.23,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",WGWF1,-1.68,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",WHITSF1,-7.61,1
